"date",open,high,low,close,adj_close,volume,"type","code","name"
"1966-02-08",2.7037,2.73663,2.60494,2.68519,0.725169,4865600,"stock","BA","The Boeing Company"
"1966-02-08",3.8125,3.83333,3.75,3.78125,0.352049,372000,"stock","CAT","Caterpillar Inc."
"1966-02-08",0,5.04688,4.97656,4.99219,0.087587,105600,"stock","CVX","Chevron Corporation"
"1966-02-08",0.149645,0.152214,0.149003,0.149645,0.09768,1401300,"stock","DIS","The Walt Disney Company"
"1966-02-08",8.37083,8.475,8.36667,8.46875,2.06401,659200,"stock","IBM","International Business Machines Corporation"
"1966-02-08",0,0.448495,0.443866,0.448495,0.148117,475200,"stock","JNJ","Johnson & Johnson"
"1966-02-08",0.44987,0.44987,0.443359,0.44401,0.00777625,422400,"stock","KO","The Coca-Cola Company"
"1966-02-08",0,1.08594,1.06445,1.07422,0.232118,563200,"stock","PG","The Procter & Gamble Company"
"1966-02-08",0,2.51953,2.49219,2.5,0.203386,950400,"stock","XOM","Exxon Mobil Corporation"
"1966-02-08",93.59,94.29,92.58,93.55,93.55,10560000,"index","^GSPC","S&P 500"
"1966-02-08",536.83,536.83,536.83,536.83,536.83,0,"index","^NYA","NYSE COMPOSITE (DJ)"
"1966-02-09",2.68519,2.72016,2.66255,2.67901,0.723502,1676600,"stock","BA","The Boeing Company"
"1966-02-09",3.8125,3.94792,3.8125,3.88542,0.361747,252000,"stock","CAT","Caterpillar Inc."
"1966-02-09",0,5.03125,5.00781,5.01562,0.0879982,97600,"stock","CVX","Chevron Corporation"
"1966-02-09",0.150287,0.154783,0.150287,0.153177,0.0999857,1712700,"stock","DIS","The Walt Disney Company"
"1966-02-09",8.51667,8.55833,8.51667,8.5375,2.08077,592000,"stock","IBM","International Business Machines Corporation"
"1966-02-09",0,0.461227,0.451389,0.461227,0.152321,475200,"stock","JNJ","Johnson & Johnson"
"1966-02-09",0.44401,0.445964,0.442708,0.445964,0.00781047,422400,"stock","KO","The Coca-Cola Company"
"1966-02-09",0,1.07227,1.0625,1.07031,0.231274,390400,"stock","PG","The Procter & Gamble Company"
"1966-02-09",0,2.51562,2.48828,2.49219,0.202751,876800,"stock","XOM","Exxon Mobil Corporation"
"1966-02-09",93.55,94.72,93.29,94.06,94.06,9760000,"index","^GSPC","S&P 500"
"1966-02-09",1505.7,1505.7,1505.7,1505.7,1505.7,0,"index","^N225","NIKKEI 225"
"1966-02-09",539.89,539.89,539.89,539.89,539.89,0,"index","^NYA","NYSE COMPOSITE (DJ)"
"1966-02-10",2.67901,2.75514,2.66667,2.73251,0.73795,2624400,"stock","BA","The Boeing Company"
"1966-02-10",3.88542,3.95833,3.88542,3.91667,0.364657,247200,"stock","CAT","Caterpillar Inc."
"1966-02-10",0,5.02344,4.95312,4.95312,0.0869016,115200,"stock","CVX","Chevron Corporation"
"1966-02-10",0.153177,0.154141,0.153177,0.15382,0.100405,2685800,"stock","DIS","The Walt Disney Company"
"1966-02-10",8.5375,8.63333,8.53333,8.61667,2.10006,515200,"stock","IBM","International Business Machines Corporation"
"1966-02-10",0,0.467593,0.462963,0.462963,0.152895,518400,"stock","JNJ","Johnson & Johnson"
"1966-02-10",0.44401,0.44401,0.440755,0.441406,0.00773065,748800,"stock","KO","The Coca-Cola Company"
"1966-02-10",0,1.07227,1.06641,1.07031,0.231274,217600,"stock","PG","The Procter & Gamble Company"
"1966-02-10",0,2.50781,2.48828,2.50781,0.204022,1084800,"stock","XOM","Exxon Mobil Corporation"
"1966-02-10",94.06,94.7,93.32,93.83,93.83,9790000,"index","^GSPC","S&P 500"
"1966-02-10",1489.11,1489.11,1489.11,1489.11,1489.11,0,"index","^N225","NIKKEI 225"
"1966-02-10",538.41,538.41,538.41,538.41,538.41,0,"index","^NYA","NYSE COMPOSITE (DJ)"
"1966-02-11",2.73251,2.77572,2.7037,2.72428,0.735727,1433600,"stock","BA","The Boeing Company"
"1966-02-11",3.91667,3.97917,3.86458,3.89583,0.362717,180800,"stock","CAT","Caterpillar Inc."
"1966-02-11",0,4.98438,4.95312,4.96875,0.0871758,89600,"stock","CVX","Chevron Corporation"
"1966-02-11",0.15382,0.154783,0.153177,0.154141,0.100615,4165000,"stock","DIS","The Walt Disney Company"
"1966-02-11",8.63333,8.74583,8.63333,8.74583,2.13154,443200,"stock","IBM","International Business Machines Corporation"
"1966-02-11",0,0.462384,0.453704,0.456019,0.150601,432000,"stock","JNJ","Johnson & Johnson"
"1966-02-11",0.441406,0.450521,0.441406,0.44401,0.00777625,1132800,"stock","KO","The Coca-Cola Company"
"1966-02-11",0,1.07031,1.05859,1.0625,0.229586,627200,"stock","PG","The Procter & Gamble Company"
"1966-02-11",0,2.5,2.48047,2.48438,0.202115,704000,"stock","XOM","Exxon Mobil Corporation"
"1966-02-11",93.83,94.52,93.25,93.81,93.81,8150000,"index","^GSPC","S&P 500"
"1966-02-11",538.31,538.31,538.31,538.31,538.31,0,"index","^NYA","NYSE COMPOSITE (DJ)"
"1966-02-14",2.72428,2.72428,2.6749,2.69342,0.727391,1129800,"stock","BA","The Boeing Company"
"1966-02-14",3.90625,3.96875,3.90625,3.9375,0.366596,170400,"stock","CAT","Caterpillar Inc."
"1966-02-14",0,4.99219,4.94531,4.96875,0.0871758,110400,"stock","CVX","Chevron Corporation"
"1966-02-14",0.154141,0.154141,0.152214,0.154141,0.100615,1634800,"stock","DIS","The Walt Disney Company"
"1966-02-14",8.74167,8.74167,8.65833,8.65833,2.11022,232000,"stock","IBM","International Business Machines Corporation"
"1966-02-14",0,0.456019,0.446759,0.446759,0.147543,604800,"stock","JNJ","Johnson & Johnson"
"1966-02-14",0.44401,0.447917,0.44401,0.44401,0.00777625,384000,"stock","KO","The Coca-Cola Company"
"1966-02-14",0,1.06055,1.04297,1.04297,0.225365,793600,"stock","PG","The Procter & Gamble Company"
"1966-02-14",0,2.48828,2.46875,2.47266,0.201162,841600,"stock","XOM","Exxon Mobil Corporation"
"1966-02-14",93.81,94.4,93.15,93.53,93.53,8360000,"index","^GSPC","S&P 500"
